orig_plot,plot_type,plot_name,f_grazed,month,treatment
PER P45_G_4,p,p45,g1,4,Grazed
PER P45_G_5,p,p45,g1,5,Grazed
PER P46_G_4,p,p46,g1,4,Grazed
PER P46_G_5,p,p46,g1,5,Grazed
PER P47_G_4,p,p47,g1,4,Grazed
PER P47_G_5,p,p47,g1,5,Grazed
PER P48_G_4,p,p48,g1,4,Grazed
PER P48_G_5,p,p48,g1,5,Grazed
PERP1_G_4,p,p01,g1,4,Grazed
PERP1_G_5,p,p01,g1,5,Grazed
PERP2_G_4,p,p02,g1,4,Grazed
PERP2_G_5,p,p02,g1,5,Grazed
PERP3_G_4,p,p03,g1,4,Grazed
PERP3_G_5,p,p03,g1,5,Grazed
PERP4_G_4,p,p04,g1,4,Grazed
PERP4_G_5,p,p04,g1,5,Grazed
PERP5_G_4,p,p05,g1,4,Grazed
PERP5_G_5,p,p05,g1,5,Grazed
PERP6_G_4,p,p06,g1,4,Grazed
PERP6_G_5,p,p06,g1,5,Grazed
PERP7_G_4,p,p07,g1,4,Grazed
PERP7_G_5,p,p07,g1,5,Grazed
PERP8_G_4,p,p08,g1,4,Grazed
PERP8_G_5,p,p08,g1,5,Grazed
PERP9_G_4,p,p09,g1,4,Grazed
PERP9_G_5,p,p09,g1,5,Grazed
PERP10_G_4,p,p10,g1,4,Grazed
PERP10_G_5,p,p10,g1,5,Grazed
PERP17_G_4,p,p17,g1,4,Grazed
PERP17_G_5,p,p17,g1,5,Grazed
PERP18_G_4,p,p18,g1,4,Grazed
PERP18_G_5,p,p18,g1,5,Grazed
PERP19_G_4,p,p19,g1,4,Grazed
PERP19_G_5,p,p19,g1,5,Grazed
PERP20_G_4,p,p20,g1,4,Grazed
PERP20_G_5,p,p20,g1,5,Grazed
PERP21_G_4,p,p21,g1,4,Grazed
PERP21_G_5,p,p21,g1,5,Grazed
PERP22_G_4,p,p22,g1,4,Grazed
PERP22_G_5,p,p22,g1,5,Grazed
PERP23_G_4,p,p23,g1,4,Grazed
PERP23_G_5,p,p23,g1,5,Grazed
PERP24_G_4,p,p24,g1,4,Grazed
PERP24_G_5,p,p24,g1,5,Grazed
PERP25_G_4,p,p25,g1,4,Grazed
PERP25_G_5,p,p25,g1,5,Grazed
PERP26_G_5,p,p26,g1,5,Grazed
PERP27_G_4,p,p27,g1,4,Grazed
PERP27_G_5,p,p27,g1,5,Grazed
PERP28_G_4,p,p28,g1,4,Grazed
PERP28_G_5,p,p28,g1,5,Grazed
PERP29_G_4,p,p29,g1,4,Grazed
PERP29_G_5,p,p29,g1,5,Grazed
PERP30_G_4,p,p30,g1,4,Grazed
PERP30_G_5,p,p30,g1,5,Grazed
PERP31_G_4,p,p31,g1,4,Grazed
PERP31_G_5,p,p31,g1,5,Grazed
PERP32_G_4,p,p32,g1,4,Grazed
PERP32_G_5,p,p32,g1,5,Grazed
PERP33_G_4,p,p33,g1,4,Grazed
PERP33_G_5,p,p33,g1,5,Grazed
PERP34_G_4,p,p34,g1,4,Grazed
PERP34_G_5,p,p34,g1,5,Grazed
PERP35_G_4,p,p35,g1,4,Grazed
PERP35_G_5,p,p35,g1,5,Grazed
PERP36_G_4,p,p36,g1,4,Grazed
PERP36_G_5,p,p36,g1,5,Grazed
PERP37_G_4,p,p37,g1,4,Grazed
PERP37_G_5,p,p37,g1,5,Grazed
PERP38_G_4,p,p38,g1,4,Grazed
PERP38_G_5,p,p38,g1,5,Grazed
PERP39_G_4,p,p39,g1,4,Grazed
